year,round,race_date,race_name,circuit,circuit_id,has_sprint,driver,driver_full_name,driver_code,driver_id,driver_number,driver_nationality,constructor,constructor_id,constructor_nationality,grid_position,quali_position,quali_time,final_position,points,laps,status,race_time,fastest_lap_time,fastest_lap_rank,position_change,quali_to_race_change,scored_points,finished
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,1,1,1:30.100,1,25,57,Finished,1.500,1:32.745,1,0,0,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,2,2,1:30.200,2,18,57,Finished,2.000,1:33.842,1,0,0,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,5,5,1:30.500,3,15,57,Finished,2.500,1:32.771,13,2,2,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,8,8,1:30.800,4,12,57,Finished,3.000,1:32.353,10,4,4,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,4,4,1:30.400,5,10,57,Finished,3.500,1:32.599,5,-1,-1,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Hamilton,Name Hamilton,HAM,hamilton,44,International,Mercedes,mercedes,International,11,11,1:31.100,6,8,57,Finished,4.000,1:32.465,20,5,5,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,9,9,1:30.900,7,6,57,Finished,4.500,1:33.491,1,2,2,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Gasly,Name Gasly,GAS,gasly,10,International,Alpine F1 Team,alpinef1team,International,7,7,1:30.700,8,4,57,Finished,5.000,1:32.192,5,-1,-1,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,16,16,1:31.600,9,2,57,Finished,5.500,1:33.011,10,7,7,True,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Albon,Name Albon,ALB,albon,23,International,Williams,williams,International,15,15,1:31.500,10,1,57,Finished,6.000,1:33.902,5,5,5,True,True
